Series,Type,Year,Group,Value,Stdev,Scale
bts_bootstrap,absolute,2014,Bairdi,171839.1234,15472.18349,2.14E-06
bts_bootstrap,absolute,2015,Bairdi,120169.5234,10542.16767,2.14E-06
bts_bootstrap,absolute,2016,Bairdi,111976.1849,10394.61761,2.14E-06
bts_bootstrap,absolute,2017,Bairdi,92427.10139,9182.766954,2.14E-06
bts_bootstrap,absolute,2018,Bairdi,84268.18072,6988.414737,2.14E-06
bts_bootstrap,absolute,2019,Bairdi,54543.86209,5453.973958,2.14E-06
bts_bootstrap,absolute,1982,Ben.zooplankton,6588235.899,2848189.893,2.14E-06
bts_bootstrap,absolute,1983,Ben.zooplankton,4739918.048,1613094.776,2.14E-06
bts_bootstrap,absolute,1984,Ben.zooplankton,13466520.69,3074391.455,2.14E-06
bts_bootstrap,absolute,1985,Ben.zooplankton,53956980.95,32687851.66,2.14E-06
bts_bootstrap,absolute,1986,Ben.zooplankton,10786897.87,5192366.986,2.14E-06
bts_bootstrap,absolute,1987,Ben.zooplankton,64132065.28,20258429.85,2.14E-06
bts_bootstrap,absolute,1988,Ben.zooplankton,54846904.99,30772775.06,2.14E-06
bts_bootstrap,absolute,1989,Ben.zooplankton,96461938.33,43536770.8,2.14E-06
bts_bootstrap,absolute,1990,Ben.zooplankton,76495312.62,38509061.86,2.14E-06
bts_bootstrap,absolute,1991,Ben.zooplankton,9171628.078,1862911.458,2.14E-06
bts_bootstrap,absolute,1992,Ben.zooplankton,15723049.68,6949745.335,2.14E-06
bts_bootstrap,absolute,1993,Ben.zooplankton,30633958.6,10945845.86,2.14E-06
bts_bootstrap,absolute,1994,Ben.zooplankton,14013983.14,5041930.124,2.14E-06
bts_bootstrap,absolute,1995,Ben.zooplankton,30467462.03,17860136.22,2.14E-06
bts_bootstrap,absolute,1996,Ben.zooplankton,15309811.18,4280741.126,2.14E-06
bts_bootstrap,absolute,1997,Ben.zooplankton,12700809.61,2596504.366,2.14E-06
bts_bootstrap,absolute,1998,Ben.zooplankton,22884945.76,9540444.069,2.14E-06
bts_bootstrap,absolute,1999,Ben.zooplankton,17699668.3,5333511.505,2.14E-06
bts_bootstrap,absolute,2000,Ben.zooplankton,14014037.25,7262955.831,2.14E-06
bts_bootstrap,absolute,2001,Ben.zooplankton,17813265.36,6764000.357,2.14E-06
bts_bootstrap,absolute,2002,Ben.zooplankton,55114487.77,25617560.05,2.14E-06
bts_bootstrap,absolute,2003,Ben.zooplankton,27500362.19,12045919.69,2.14E-06
bts_bootstrap,absolute,2004,Ben.zooplankton,123567510.4,53315307.33,2.14E-06
bts_bootstrap,absolute,2005,Ben.zooplankton,81918369.47,26132897.98,2.14E-06
bts_bootstrap,absolute,2006,Ben.zooplankton,29172973.01,10646234.05,2.14E-06
bts_bootstrap,absolute,2007,Ben.zooplankton,26682248.37,7838585.31,2.14E-06
bts_bootstrap,absolute,2008,Ben.zooplankton,38467876.23,18557482.8,2.14E-06
bts_bootstrap,absolute,2009,Ben.zooplankton,17282538.39,4876957.686,2.14E-06
bts_bootstrap,absolute,2010,Ben.zooplankton,27298380.14,10153618.3,2.14E-06
bts_bootstrap,absolute,2011,Ben.zooplankton,26661394.01,12088091.95,2.14E-06
